model,representation,dataset,fold,accuracy,balanced_accuracy,f1,mcc,roc_auc
Gradient Boosting,Physicochemical,balanced,1,0.8726415094339622,0.8728389293104599,0.8676470588235294,0.7480785984301676,0.9429944596488885
Gradient Boosting,Physicochemical,balanced,2,0.8702830188679245,0.8704470106579445,0.8661800486618005,0.742506576970817,0.9310571167923815
Gradient Boosting,Physicochemical,balanced,3,0.8584905660377359,0.8587989230803462,0.8492462311557789,0.7234813515272218,0.9144026878490532
Gradient Boosting,Physicochemical,balanced,4,0.8301886792452831,0.8305631577776293,0.8163265306122449,0.66927702369436,0.9016420799679594
Gradient Boosting,Physicochemical,balanced,5,0.8608490566037735,0.8609683376721625,0.8578313253012049,0.7227331289182933,0.9403911621387091
Gradient Boosting,Physicochemical,balanced,6,0.8514150943396226,0.8515341654985203,0.8481927710843373,0.703843968672879,0.9197872861179718
Gradient Boosting,Physicochemical,balanced,7,0.8514150943396226,0.8515786663106601,0.8467153284671532,0.7046877543825983,0.9394455198807379
Gradient Boosting,Physicochemical,balanced,8,0.8702830188679245,0.8704692610640143,0.8655256723716381,0.7430494977435985,0.9358743297065172
Gradient Boosting,Physicochemical,balanced,9,0.8820754716981132,0.8822508510780321,0.8780487804878049,0.766414026542705,0.9340831720178893
Gradient Boosting,Physicochemical,balanced,10,0.8655660377358491,0.865665331553182,0.8652482269503546,0.7313713502277678,0.938495772140632
Gradient Boosting,Physicochemical,imbalanced,1,0.8729903536977492,0.835417811984607,0.7948051948051948,0.7137839188992522,0.9147368059373282
Gradient Boosting,Physicochemical,imbalanced,2,0.864951768488746,0.8286901523238863,0.7835051546391752,0.6937377990312392,0.9236027411412239
Gradient Boosting,Physicochemical,imbalanced,3,0.9003215434083601,0.8825831927178392,0.8502415458937198,0.7763691357550152,0.9463996694101038
Gradient Boosting,Physicochemical,imbalanced,4,0.8713826366559485,0.8425795194967687,0.8,0.7090509047656752,0.9243890400266308
Gradient Boosting,Physicochemical,imbalanced,5,0.864951768488746,0.8298150762767313,0.7846153846153846,0.6937217590378316,0.9107809038419596
Gradient Boosting,Physicochemical,imbalanced,6,0.887459807073955,0.8593041541834545,0.8241206030150754,0.7459626912930748,0.934978247643973
Gradient Boosting,Physicochemical,imbalanced,7,0.9098228663446055,0.8909831538249102,0.8634146341463415,0.7976123742175587,0.9454340421614655
Gradient Boosting,Physicochemical,imbalanced,8,0.8985507246376812,0.873429301297984,0.8428927680798005,0.7716767192214593,0.9405953696032404
Gradient Boosting,Physicochemical,imbalanced,9,0.8615136876006442,0.8272921844794257,0.7806122448979592,0.686037512456572,0.9324254349627175
Gradient Boosting,Physicochemical,imbalanced,10,0.8743961352657005,0.843827671913836,0.803030303030303,0.7160248672281426,0.9206480714351469
