model,representation,dataset,fold,accuracy,balanced_accuracy,f1,mcc,roc_auc
Random Forest,AAC,imbalanced,9,0.9243156199677939,0.9042564208782105,0.8839506172839506,0.8304768774168203,0.9585404584368958
Random Forest,AAC,imbalanced,10,0.9130434782608695,0.8889464236398785,0.865,0.8049594317765704,0.949962027064347
Gradient Boosting,AAC,balanced,1,0.9033018867924528,0.9033998620474823,0.9016786570743405,0.8073657953697648,0.9502480920276795
Gradient Boosting,AAC,balanced,2,0.8985849056603774,0.8986382751485215,0.8978622327790974,0.7974096315629379,0.9408139198540373
Gradient Boosting,AAC,balanced,3,0.8773584905660378,0.8776672674276305,0.8693467336683417,0.7615274391583083,0.9346505573726721
Gradient Boosting,AAC,balanced,4,0.8514150943396226,0.85160091671673,0.8459657701711492,0.7052052950957564,0.9130454130787887
Gradient Boosting,AAC,balanced,5,0.8655660377358491,0.8656186725407738,0.8646080760095012,0.7313594030945633,0.9456200075651381
Gradient Boosting,AAC,balanced,6,0.8466981132075472,0.846906081035979,0.8402948402948403,0.6963188544467227,0.9285761965155863
Gradient Boosting,AAC,balanced,7,0.8915094339622641,0.8916850232516744,0.8878048780487805,0.7853295681623159,0.9547649244598714
Gradient Boosting,AAC,balanced,8,0.8773584905660378,0.8774002625547916,0.8767772511848341,0.7548677125521455,0.9498253343123512
Gradient Boosting,AAC,balanced,9,0.8820754716981132,0.8821840998598225,0.8798076923076923,0.7650494093994137,0.949135571724184
Gradient Boosting,AAC,balanced,10,0.8820754716981132,0.8820649755229195,0.883177570093458,0.7641299510458389,0.9445482866043613
Gradient Boosting,AAC,imbalanced,1,0.8890675241157556,0.8610042147700201,0.8270676691729323,0.7503305919769829,0.9520684442001099
Gradient Boosting,AAC,imbalanced,2,0.9035369774919614,0.8737789409644501,0.8469387755102041,0.7835521416405893,0.9303006301869899
Gradient Boosting,AAC,imbalanced,3,0.905144694533762,0.887375598333276,0.8571428571428571,0.7871227921379159,0.9506123948253499
Gradient Boosting,AAC,imbalanced,4,0.8778135048231511,0.8530941148111161,0.812807881773399,0.7243769623486117,0.9377848181181629
Gradient Boosting,AAC,imbalanced,5,0.8858520900321544,0.8513321165788538,0.8165374677002584,0.7428235644572823,0.9302087996602271
Gradient Boosting,AAC,imbalanced,6,0.9196141479099679,0.8972531193682061,0.8756218905472637,0.819735828261577,0.9546127621474568
Gradient Boosting,AAC,imbalanced,7,0.9114331723027376,0.8966963545981773,0.86810551558753,0.8019087962047303,0.9590237503452085
Gradient Boosting,AAC,imbalanced,8,0.9033816425120773,0.8815934824634079,0.8522167487684729,0.7827990471618164,0.9597947160084693
Gradient Boosting,AAC,imbalanced,9,0.9001610305958132,0.8746547914940624,0.845,0.7753816200471393,0.9471830985915493
Gradient Boosting,AAC,imbalanced,10,0.9017713365539453,0.8758802816901409,0.8471177944862155,0.7791091808194105,0.9307511737089201
