model,representation,dataset,fold,accuracy,balanced_accuracy,f1,mcc,roc_auc
Random Forest,DPC,balanced,10,0.8891509433962265,0.8891188251001335,0.8904428904428905,0.7782809469623913,0.9528259902091677
Random Forest,DPC,imbalanced,1,0.9308681672025724,0.9173080447132125,0.8968824940047961,0.8456072355390885,0.9693169323804288
Random Forest,DPC,imbalanced,2,0.905144694533762,0.8840008264747409,0.855036855036855,0.7866668709052876,0.9399772719446262
Random Forest,DPC,imbalanced,3,0.9260450160771704,0.9133923344467785,0.8899521531100478,0.8346394584698609,0.9631070858730213
Random Forest,DPC,imbalanced,4,0.8906752411575563,0.8729983814869657,0.8365384615384616,0.7549763863569222,0.9403158970120643
Random Forest,DPC,imbalanced,5,0.9163987138263665,0.8936832076402998,0.8706467661691543,0.8123692793172917,0.953091819047947
Random Forest,DPC,imbalanced,6,0.9196141479099679,0.9073774349438112,0.8809523809523809,0.8204822679176746,0.9691105065601433
Random Forest,DPC,imbalanced,7,0.9339774557165862,0.919462855564761,0.9007263922518159,0.8522899006615662,0.9646333885666942
Random Forest,DPC,imbalanced,8,0.9307568438003221,0.91476801988401,0.8953771289537713,0.8449915450537472,0.9742704593574519
Random Forest,DPC,imbalanced,9,0.9227053140096618,0.9063967136150235,0.883495145631068,0.8268320499383984,0.9547546718217804
Random Forest,DPC,imbalanced,10,0.9162640901771336,0.9014947528307098,0.875,0.8126313878227516,0.9551689220289056
Gradient Boosting,DPC,balanced,1,0.8726415094339622,0.8729946821529493,0.8629441624365483,0.7540866300917903,0.9472554124112765
Gradient Boosting,DPC,balanced,2,0.8561320754716981,0.856362503615691,0.8493827160493828,0.7159099849095951,0.9342055492512739
Gradient Boosting,DPC,balanced,3,0.875,0.8753866008054647,0.8644501278772379,0.7606103609249225,0.9390450125714794
Gradient Boosting,DPC,balanced,4,0.8183962264150944,0.818959571012171,0.7946666666666666,0.6564301357230848,0.9121220212268873
Gradient Boosting,DPC,balanced,5,0.8419811320754716,0.8421889949491579,0.8353808353808354,0.6868505973020428,0.9273301737756714
Gradient Boosting,DPC,balanced,6,0.8490566037735849,0.8492979996884943,0.8415841584158416,0.702041005360217,0.9168947333288834
Gradient Boosting,DPC,balanced,7,0.875,0.8752530983690452,0.8684863523573201,0.754571820861316,0.9417261865029037
Gradient Boosting,DPC,balanced,8,0.8584905660377359,0.8587989230803462,0.8492462311557789,0.7234813515272218,0.9386222548561511
Gradient Boosting,DPC,balanced,9,0.8702830188679245,0.8704915114700844,0.8648648648648649,0.7436601401701225,0.9448634937587611
Gradient Boosting,DPC,balanced,10,0.8679245283018868,0.8685358255451714,0.86,0.7426450510698089,0.9314419225634178
Gradient Boosting,DPC,imbalanced,1,0.8713826366559485,0.8286375297782664,0.7872340425531915,0.7114554299052642,0.9351463716327653
Gradient Boosting,DPC,imbalanced,2,0.8665594855305466,0.8220381785415016,0.7774798927613941,0.6992103268071312,0.9075725748131823
Gradient Boosting,DPC,imbalanced,3,0.905144694533762,0.8716266629934456,0.8467532467532467,0.7885293023681289,0.9523456960179988
Gradient Boosting,DPC,imbalanced,4,0.8633440514469454,0.8218430386721305,0.7757255936675461,0.6905404222311786,0.9123133257573149
Gradient Boosting,DPC,imbalanced,5,0.8585209003215434,0.8148007851510037,0.7659574468085106,0.6793868136143032,0.9179092484819267
Gradient Boosting,DPC,imbalanced,6,0.8971061093247589,0.8643892696029478,0.8350515463917526,0.7690848298851796,0.9386457293065646
Gradient Boosting,DPC,imbalanced,7,0.9082125603864735,0.8762945318972659,0.8527131782945736,0.7955168824283487,0.9507387462027064
Gradient Boosting,DPC,imbalanced,8,0.8985507246376812,0.8655758077879039,0.8372093023255814,0.7728566382199177,0.949962027064347
Gradient Boosting,DPC,imbalanced,9,0.8872785829307569,0.850265810549572,0.8167539267015707,0.7471968926094854,0.9357624505201141
Gradient Boosting,DPC,imbalanced,10,0.8631239935587761,0.820664181165424,0.7745358090185677,0.6905900327980827,0.9181107889165055
